Timestamp,CPU_Usage(%),Memory_Usage(%),Memory_MB
14:04:53,35.3,68.3,10992.54
14:04:54,20.9,68.5,11030.71
14:04:55,25.9,68.8,11065.86
14:04:56,25.6,68.9,11086.23
14:04:57,25.0,69.0,11105.88
14:04:58,25.5,68.9,11087.09
14:04:59,17.8,68.9,11093.77
14:05:00,23.3,69.0,11103.01
14:05:01,15.6,69.1,11119.23
14:05:02,18.6,69.0,11106.47
14:05:03,10.9,69.1,11121.64
14:05:04,13.7,69.2,11135.65
14:05:05,16.6,69.3,11150.01
14:05:06,10.3,69.9,11244.16
14:05:07,11.3,69.9,11242.68
14:05:08,11.8,70.0,11263.19
14:05:09,11.1,69.9,11254.22
14:05:10,14.2,70.1,11284.61
14:05:11,14.4,70.2,11294.4
14:05:12,14.3,70.2,11295.55
14:05:13,9.3,70.1,11283.38
14:05:14,10.0,70.1,11283.59
14:05:15,11.1,70.2,11292.2
14:05:16,17.3,70.2,11289.77
14:05:17,8.6,70.1,11281.82
14:05:18,11.9,70.2,11298.5
14:05:19,8.1,70.2,11293.86
14:05:20,10.5,70.2,11294.3
14:05:21,12.5,70.2,11297.71
14:05:22,16.9,70.2,11299.58
14:05:23,10.1,70.2,11297.08
14:05:24,9.8,70.2,11294.19
14:05:25,13.8,70.3,11308.42
14:05:26,17.3,70.2,11303.72
14:05:27,6.1,70.2,11303.77
14:05:28,8.6,70.2,11299.83
14:05:29,9.5,70.2,11296.17
14:05:30,9.4,70.2,11293.98
14:05:31,10.6,70.1,11275.46
14:05:32,13.5,70.0,11270.0
14:05:33,9.4,70.1,11283.29
14:05:34,18.1,70.2,11293.1
14:05:35,21.3,69.4,11172.15
14:05:36,18.2,68.4,11011.48
14:05:37,18.9,67.5,10854.49
14:05:38,27.3,66.7,10738.69
14:05:39,16.5,66.1,10642.96
14:05:40,14.9,66.2,10655.9
14:05:41,10.9,66.1,10643.28
14:05:42,10.5,66.2,10648.26
14:05:43,20.2,66.2,10649.15
14:05:44,12.2,66.1,10639.54
14:05:45,10.8,66.1,10639.89
14:05:46,9.4,66.2,10647.98
14:05:47,10.7,66.2,10645.79
14:05:48,16.4,66.2,10648.82
14:05:49,11.1,66.2,10646.4
14:05:50,9.7,66.2,10654.31
14:05:51,12.8,66.2,10659.75
14:05:52,13.8,66.2,10645.62
